FEE	Channel	   Offset	Peaks	       INL	Comment
3	37	   45.8234	5	0.000213937	
3	38	  -126.543	5	0.000222662	
3	39	  -114.511	5	 0.0002278	
3	40	   15.8384	5	0.00166273	
3	41	   66.8806	5	0.000311832	
3	42	   -201.19	5	0.00043341	
3	43	  -119.518	5	0.000418475	
3	44	   19.4358	5	0.000337719	
3	45	  -163.588	5	0.000673231	
3	46	   103.216	5	0.00022213	
3	47	    66.066	5	0.000342779	
3	48	  -140.619	5	0.000602656	
3	49	  -108.553	5	0.000133415	
3	50	   138.943	5	0.000609926	
3	51	   212.704	5	0.000511583	
3	52	   250.378	5	0.000914403	
3	53	   517.271	5	0.00169353	
3	54	  -52.3209	5	0.000484205	
3	55	   87.4121	5	0.000510257	
3	56	   107.696	5	0.00226404	
3	57	    247.32	5	0.000988745	
3	58	   147.882	5	 0.0008165	
3	59	  -67.7777	5	0.000561987	
3	60	   107.837	5	0.000891049	
3	61	   -106.28	5	0.00106827	
3	62	   12.0528	5	0.00083448	
3	63	   67.3316	5	0.000648808	
3	64	   172.884	5	0.000709616	
4	1	         0	0	         0	No peaks?
4	2	         0	0	         0	No peaks?
4	3	         0	0	         0	No peaks?
4	4	         0	0	         0	No peaks?
4	5	         0	0	         0	No peaks?
4	6	         0	0	         0	No peaks?
4	7	         0	0	         0	No peaks?
4	8	         0	0	         0	No peaks?
4	9	         0	0	         0	No peaks?
4	10	         0	0	         0	No peaks?
4	11	         0	0	         0	No peaks?
4	12	         0	0	         0	No peaks?
4	13	         0	0	         0	No peaks?
4	14	         0	0	         0	No peaks?
4	15	         0	0	         0	No peaks?
4	16	         0	0	         0	No peaks?
4	17	  -1.68824	5	 0.0013856	
4	18	   0	5	 0.0699962	High INL 
4	19	   38.9232	4	0.00182976	Few peaks 
4	20	  -355.105	5	0.00122693	
4	21	  -114.907	5	0.00274379	
4	22	  -376.656	5	 0.0517812	High INL 
4	23	  -44.8766	5	 0.0013019	
4	24	  -350.281	5	0.00142991	
4	25	  -58.9566	5	0.00110718	
4	26	   -195.33	5	 0.0441165	High INL 
4	27	   87.3911	5	 0.0016918	
4	28	  -350.035	5	0.00113256	
4	29	   14.7878	5	0.00261725	
4	30	  -255.173	5	0.00104059	
4	31	  -265.833	5	0.00127102	
4	32	   0	5	 0.0381894	High INL 
4	33	  -29.4368	5	0.00191299	
4	34	   73.5041	5	 0.0017888	
4	35	   199.216	5	0.000798798	
4	36	  -240.471	5	 0.0016964	
4	37	  -78.1571	5	0.00204912	
4	38	    27.405	5	0.000669138	
4	39	         0	0	         0	No peaks?
4	40	  -129.074	5	0.00136891	
4	41	   37.8169	5	0.00131298	
4	42	  -49.8639	5	0.00135987	
4	43	  -361.405	5	 0.0385646	High INL 
4	44	   75.1229	5	0.00136267	
4	45	  -52.0024	5	0.00281285	
4	46	  -218.589	5	0.00147795	
4	47	  -159.744	5	0.00166847	
4	48	  -364.476	5	 0.0411945	High INL 
4	49	  -75.6762	5	0.00140489	
4	50	   0	5	 0.0252494	High INL 
4	51	   0	5	 0.0356807	High INL 
4	52	    13.508	5	0.00225245	
4	53	  0	4	 0.0746543	High INL Few peaks 
4	54	   -16.708	5	0.00031539	
4	55	  -401.286	5	0.000339993	
4	56	   -201.62	5	0.000609753	
4	57	  -204.639	5	0.00276355	
4	58	  -40.3521	5	0.000493148	
4	59	  -158.658	5	0.00113236	
4	60	  -115.872	5	0.00264521	
4	61	   12.0006	5	0.000648443	
4	62	   2750.99	5	 0.0488686	High INL 
4	63	   -205.43	5	0.00261423	
4	64	   128.067	5	0.00151742	
5	1	         0	0	         0	No peaks?
5	2	   18.9386	5	0.00151479	
5	3	  -199.395	5	0.000346895	
5	4	  -254.604	5	0.000652336	
5	5	   31.4773	5	0.000143947	
5	6	  -34.0262	5	0.000471988	
5	7	  -214.644	5	0.000212822	
5	8	   73.6283	5	0.000568231	
5	9	  -113.488	5	0.000474027	
5	10	  -92.1731	5	0.000534172	
5	11	  -34.4147	5	0.000365543	
5	12	  -66.2542	5	0.000391985	
5	13	   5.68607	5	0.000418162	
5	14	  -18.5219	5	0.000361558	
5	15	  -119.697	5	0.00274062	
5	16	  -53.5684	5	0.000887567	
5	17	  -22.9902	5	0.000406567	
5	18	  -106.562	5	0.00196769	
5	19	   134.058	5	0.000333855	
5	20	  -231.574	5	0.00029361	
5	21	  -72.9238	5	0.000683125	
5	22	  -120.197	5	0.00035981	
5	23	   66.3166	5	0.000390004	
5	24	    43.383	5	0.000673298	
5	25	   43.6816	5	0.000709191	
5	26	  -117.674	5	0.000753534	
5	27	   13.6634	5	0.00103128	
5	28	  -191.234	5	0.00029636	
5	29	  -14.6603	5	0.00118993	
5	30	   135.879	5	0.00110918	
5	31	  -227.215	5	0.000543061	
5	32	   35.8185	5	0.00287378	
